920	3.0e-3	2.17
850	1.0e-2	2.17
774.9	2.9e-2	2.16
688.8	4.7e-2	2.16
563.5	7.0e-2	2.15
387.4	1.0e-1	2.12
229.6	1.4e-1	2.07
172.2	1.6e-1	2.04
140.9	1.6e-1	2.03
121.5	1.9e-1	2.02
81.57	2.1e-1	1.93
56.35	1.9e-1	1.86
36.46	1.5e-1	1.81
31.00	1.4e-1	1.81
22.14	1.8e-1	1.80
18.23	2.1e-1	1.76
17.71	2.1e-1	1.74
14.42	1.7e-1	1.67
12.91	1.4e-1	1.67
11.70	9.7e-2	1.64
11.07	7.9e-2	1.66
10.51	7.5e-2	1.67
8.731	9.2e-2	1.71
7.653	1.3e-1	1.72
7.044	1.7e-1	1.69
6.666	2.2e-1	1.69
6.457	2.6e-1	1.64
6.326	2.8e-1	1.58
5.961	1.5e-1	1.43
5.848	7.0e-2	1.44
5.740	2.9e-2	1.48
5.438	1.1e-2	1.55
5.253	8.7e-3	1.58	
5.166	7.6e-3	1.58
4.881	1.0e-2	1.61
4.626	2.7e-2	1.62
4.592	2.8e-2	1.61
4.492	1.4e-2	1.61
4.428	1.1e-2	1.61
4.217	1.0e-2	1.63
3.948	1.3e-2	1.64
3.668	2.1e-2	1.65
3.463	3.5e-2	1.65
3.246	5.6e-2	1.65
3.009	7.5e-2	1.61
2.938	6.0e-2	1.59
2.828	2.4e-2	1.58
2.743	1.1e-2	1.59
2.695	4.1e-3	1.60
2.422	1.2e-3	1.62
2.403	8.5e-4	1.62
2.393	8.0e-4	1.62
2.214	8.9e-4	1.63
2.019	7.2e-4	1.63
1.873	5.2e-4	1.63
1.823	4.4e-4	1.64
1.813	4.2e-4	1.64
1.802	4.0e-4	1.64
1.381	4.1e-4	1.64
1.357	4.2e-4	1.64
1.192	5.2e-4	1.65
1.148	6.4e-4	1.65
1.016	1.0e-3	1.65
.8731	2.4e-3	1.66
.6888	8.8e-3	1.68
.5635	2.3e-2	1.70
.4428	6.0e-2	1.72
.4133	7.6e-2	1.69
.3874	9.1e-2	1.66
.3542	1.1e-1	1.63
.3263	1.3e-1	1.64
.2952	1.5e-1	1.66
.2683	1.8e-1	1.68
.2384	2.1e-1	1.68
.1968	2.2e-1	1.66
.1631	2.4e-1	1.65
.1362	2.7e-1	1.70
.1215	3.7e-1	1.74
.1181	4.0e-1	1.75
.1159	4.3e-1	1.75
.1097	5.0e-1	1.72
.1016	5.8e-1	1.67
.0925	6.7e-1	1.58
.0800	7.7e-1	1.37
.0785	7.7e-1	1.33
.0588	6.2e-1	.963
.0449	3.8e-1	.812
.0415	3.1e-1	.802
.0312	1.4e-1	.850
.0207	4.9e-2	.920
