Reference:,Baratta et al. (2015),,,,,
DOI:,doi:http://dx.doi.org/10.1016/j.pss.2015.08.011,,,,,
Sample Type:,Ice Tholin,,,,,
Composition:,CH4:CO:N2 (1:1:1),,,,,
Temperature:,300K,,,,,
OCdb page:,https://ocdb.smce.nasa.gov/dataset/3,,,,,
n_ Error Units:,Not Applicable,,,,,
k_ Error Units:,Not Applicable,,,,,
,,,,,,
Wavenumber (cm__),n_,Dn_  (+/-),,Wavenumber (cm__),k_,Dk_  (+/-)
1627.4,1.59881,,,1627.4,0.22092,
1635.7,1.58789,,,1635.7,0.2219,
1644.1,1.57675,,,1644.1,0.21957,
1652.4,1.56541,,,1652.4,0.21704,
1660.8,1.55445,,,1660.8,0.21202,
1669.1,1.54487,,,1669.1,0.20444,
1677.5,1.53789,,,1677.5,0.19705,
1685.8,1.53188,,,1685.8,0.19072,
1694.2,1.52567,,,1694.2,0.18443,
1702.5,1.51743,,,1702.5,0.17711,
1710.9,1.51091,,,1710.9,0.16806,
1719.2,1.50362,,,1719.2,0.15913,
1727.6,1.49512,,,1727.6,0.14358,
1735.9,1.49637,,,1735.9,0.12557,
1744.3,1.50145,,,1744.3,0.11261,
1752.6,1.50684,,,1752.6,0.1033,
1761,1.51173,,,1761,0.09535,
1769.3,1.51655,,,1769.3,0.08858,
1777.7,1.52091,,,1777.7,0.08182,
1786,1.52628,,,1786,0.07614,
1794.4,1.53138,,,1794.4,0.07143,
1802.7,1.537,,,1802.7,0.06756,
1811.1,1.54243,,,1811.1,0.06445,
1819.4,1.54723,,,1819.4,0.06219,
1827.8,1.55182,,,1827.8,0.06058,
1836.1,1.55584,,,1836.1,0.05932,
1844.5,1.55952,,,1844.5,0.05849,
1852.8,1.56291,,,1852.8,0.05757,
1861.2,1.56538,,,1861.2,0.05724,
1869.5,1.56818,,,1869.5,0.0565,
1877.9,1.57052,,,1877.9,0.05545,
1886.2,1.5726,,,1886.2,0.05501,
1894.6,1.57495,,,1894.6,0.05447,
1902.9,1.57704,,,1902.9,0.05382,
1911.3,1.57892,,,1911.3,0.0532,
1919.6,1.58074,,,1919.6,0.05283,
1928,1.58261,,,1928,0.05239,
1936.3,1.58437,,,1936.3,0.05187,
1944.7,1.58589,,,1944.7,0.05143,
1953.1,1.58755,,,1953.1,0.05112,
1961.4,1.58903,,,1961.4,0.0507,
1969.8,1.5905,,,1969.8,0.05022,
1978.1,1.59205,,,1978.1,0.04975,
1986.5,1.59359,,,1986.5,0.04935,
1994.8,1.59509,,,1994.8,0.04909,
