Reference:,Baratta et al. (2015),,,,,
DOI:,doi:http://dx.doi.org/10.1016/j.pss.2015.08.011,,,,,
Sample Type:,Ice Tholin,,,,,
Composition:,CH4:CO:N2 (1:1:1),,,,,
Temperature:,300K,,,,,
OCdb page:,https://ocdb.smce.nasa.gov/dataset/3,,,,,
n_ Error Units:,Not Applicable,,,,,
k_ Error Units:,Not Applicable,,,,,
,,,,,,
Wavenumber (cm__),n_,Dn_  (+/-),,Wavenumber (cm__),k_,Dk_  (+/-)
20892.7,1.71527,,,20892.7,0.05211,
20901.1,1.7153,,,20901.1,0.05217,
20909.4,1.71533,,,20909.4,0.05223,
20917.8,1.71536,,,20917.8,0.05229,
20926.1,1.7154,,,20926.1,0.05236,
20934.5,1.71544,,,20934.5,0.05242,
20942.8,1.71548,,,20942.8,0.05248,
20951.2,1.71552,,,20951.2,0.05254,
20959.5,1.71557,,,20959.5,0.0526,
20967.9,1.71563,,,20967.9,0.05268,
20976.2,1.71567,,,20976.2,0.05275,
20984.6,1.71572,,,20984.6,0.05283,
20992.9,1.71576,,,20992.9,0.0529,
21001.3,1.71581,,,21001.3,0.05298,
21009.7,1.71585,,,21009.7,0.05305,
21018,1.71589,,,21018,0.05313,
21026.4,1.71593,,,21026.4,0.0532,
21034.7,1.71598,,,21034.7,0.05328,
21043.1,1.71602,,,21043.1,0.05336,
21051.4,1.71606,,,21051.4,0.05343,
21059.8,1.7161,,,21059.8,0.05351,
21068.1,1.71615,,,21068.1,0.05358,
21076.5,1.71619,,,21076.5,0.05366,
21084.8,1.71623,,,21084.8,0.05374,
21093.2,1.71627,,,21093.2,0.05381,
21101.5,1.71631,,,21101.5,0.05389,
21109.9,1.71635,,,21109.9,0.05397,
21118.2,1.7164,,,21118.2,0.05404,
21126.6,1.71644,,,21126.6,0.05412,
21134.9,1.71648,,,21134.9,0.0542,
21143.3,1.71653,,,21143.3,0.05427,
21151.6,1.71657,,,21151.6,0.05435,
21160,1.71661,,,21160,0.05443,
21168.3,1.71665,,,21168.3,0.05451,
21176.7,1.71669,,,21176.7,0.05459,
21185,1.71673,,,21185,0.05467,
21193.4,1.71677,,,21193.4,0.05475,
21201.7,1.71681,,,21201.7,0.05483,
21210.1,1.71685,,,21210.1,0.05492,
21218.4,1.71688,,,21218.4,0.055,
21226.8,1.71692,,,21226.8,0.05508,
21235.1,1.71696,,,21235.1,0.05516,
21243.5,1.717,,,21243.5,0.05524,
21251.8,1.71703,,,21251.8,0.05532,
21260.2,1.71707,,,21260.2,0.0554,
21268.5,1.7171,,,21268.5,0.05549,
21276.9,1.71714,,,21276.9,0.05557,
21285.2,1.71717,,,21285.2,0.05565,
21293.6,1.7172,,,21293.6,0.05573,
21301.9,1.71722,,,21301.9,0.05581,
21310.3,1.71724,,,21310.3,0.0559,
21318.6,1.71726,,,21318.6,0.05596,
21327,1.71728,,,21327,0.05602,
21335.3,1.71731,,,21335.3,0.05608,
21343.7,1.71734,,,21343.7,0.05614,
21352,1.71738,,,21352,0.0562,
21360.4,1.71742,,,21360.4,0.05626,
21368.7,1.71746,,,21368.7,0.05632,
21377.1,1.71751,,,21377.1,0.05638,
21385.4,1.71756,,,21385.4,0.05644,
21393.8,1.71761,,,21393.8,0.0565,
21402.1,1.71769,,,21402.1,0.05656,
21410.5,1.71775,,,21410.5,0.05665,
21418.8,1.71781,,,21418.8,0.05674,
21427.2,1.71786,,,21427.2,0.05684,
21435.5,1.7179,,,21435.5,0.05693,
21443.9,1.71795,,,21443.9,0.05702,
21452.2,1.71799,,,21452.2,0.05711,
21460.6,1.71802,,,21460.6,0.05721,
21468.9,1.71806,,,21468.9,0.0573,
21477.3,1.71809,,,21477.3,0.05739,
21485.6,1.71811,,,21485.6,0.05748,
21494,1.71813,,,21494,0.05757,
21502.4,1.71815,,,21502.4,0.05764,
21510.7,1.71818,,,21510.7,0.05771,
21519.1,1.71821,,,21519.1,0.05779,
21527.4,1.71824,,,21527.4,0.05786,
21535.8,1.71827,,,21535.8,0.05794,
21544.1,1.71831,,,21544.1,0.05801,
21552.5,1.71834,,,21552.5,0.05808,
21560.8,1.71837,,,21560.8,0.05816,
21569.2,1.7184,,,21569.2,0.05823,
21577.5,1.71843,,,21577.5,0.05831,
21585.9,1.71847,,,21585.9,0.05838,
21594.2,1.7185,,,21594.2,0.05845,
21602.6,1.71853,,,21602.6,0.05853,
21610.9,1.71857,,,21610.9,0.0586,
21619.3,1.7186,,,21619.3,0.05867,
21627.6,1.71863,,,21627.6,0.05875,
21636,1.71866,,,21636,0.05882,
21644.3,1.7187,,,21644.3,0.05889,
21652.7,1.71873,,,21652.7,0.05896,
21661,1.71875,,,21661,0.05904,
21669.4,1.71877,,,21669.4,0.0591,
21677.7,1.7188,,,21677.7,0.05916,
21686.1,1.71884,,,21686.1,0.05921,
21694.4,1.71887,,,21694.4,0.05927,
21702.8,1.71891,,,21702.8,0.05933,
21711.1,1.71896,,,21711.1,0.05938,
21719.5,1.719,,,21719.5,0.05944,
21727.8,1.71905,,,21727.8,0.05949,
21736.2,1.71911,,,21736.2,0.05955,
21744.5,1.71917,,,21744.5,0.0596,
21752.9,1.71924,,,21752.9,0.05966,
21761.2,1.71931,,,21761.2,0.05975,
21769.6,1.71937,,,21769.6,0.05983,
21777.9,1.71943,,,21777.9,0.05991,
21786.3,1.71949,,,21786.3,0.06,
21794.6,1.71954,,,21794.6,0.06008,
21803,1.71959,,,21803,0.06017,
21811.3,1.71965,,,21811.3,0.06025,
21819.7,1.7197,,,21819.7,0.06034,
21828,1.71975,,,21828,0.06043,
21836.4,1.71981,,,21836.4,0.06051,
21844.7,1.71987,,,21844.7,0.0606,
21853.1,1.71993,,,21853.1,0.06071,
21861.4,1.71998,,,21861.4,0.06081,
21869.8,1.72002,,,21869.8,0.06092,
21878.1,1.72006,,,21878.1,0.06102,
21886.5,1.7201,,,21886.5,0.06113,
21894.8,1.72013,,,21894.8,0.06123,
21903.2,1.72016,,,21903.2,0.06134,
21911.5,1.72018,,,21911.5,0.06144,
21919.9,1.7202,,,21919.9,0.06155,
21928.2,1.7202,,,21928.2,0.06166,
21936.6,1.72019,,,21936.6,0.06172,
21944.9,1.72021,,,21944.9,0.06179,
21953.3,1.72023,,,21953.3,0.06186,
21961.6,1.72025,,,21961.6,0.06192,
21970,1.72028,,,21970,0.06199,
21978.3,1.72031,,,21978.3,0.06206,
21986.7,1.72034,,,21986.7,0.06212,
21995,1.72038,,,21995,0.06219,
22003.4,1.72042,,,22003.4,0.06225,
22011.8,1.72047,,,22011.8,0.06232,
22020.1,1.72052,,,22020.1,0.06239,
22028.5,1.72057,,,22028.5,0.06248,
22036.8,1.72061,,,22036.8,0.06256,
22045.2,1.72066,,,22045.2,0.06265,
22053.5,1.72069,,,22053.5,0.06273,
22061.9,1.72073,,,22061.9,0.06282,
22070.2,1.72077,,,22070.2,0.06291,
22078.6,1.72081,,,22078.6,0.06299,
22086.9,1.72084,,,22086.9,0.06308,
22095.3,1.72088,,,22095.3,0.06316,
22103.6,1.72091,,,22103.6,0.06325,
22112,1.72095,,,22112,0.06333,
22120.3,1.72098,,,22120.3,0.06342,
22128.7,1.72101,,,22128.7,0.0635,
22137,1.72104,,,22137,0.06359,
22145.4,1.72107,,,22145.4,0.06367,
22153.7,1.7211,,,22153.7,0.06375,
22162.1,1.72113,,,22162.1,0.06384,
22170.4,1.72116,,,22170.4,0.06392,
22178.8,1.72118,,,22178.8,0.06401,
22187.1,1.7212,,,22187.1,0.06409,
22195.5,1.7212,,,22195.5,0.06417,
22203.8,1.72122,,,22203.8,0.06422,
22212.2,1.72124,,,22212.2,0.06427,
22220.5,1.72128,,,22220.5,0.06432,
22228.9,1.72131,,,22228.9,0.06438,
22237.2,1.72136,,,22237.2,0.06443,
22245.6,1.72141,,,22245.6,0.06448,
22253.9,1.72146,,,22253.9,0.06453,
22262.3,1.72152,,,22262.3,0.06458,
22270.6,1.7216,,,22270.6,0.06463,
22279,1.7217,,,22279,0.06468,
22287.3,1.72182,,,22287.3,0.06479,
22295.7,1.7219,,,22295.7,0.06492,
22304,1.72197,,,22304,0.06504,
22312.4,1.72202,,,22312.4,0.06517,
22320.7,1.72207,,,22320.7,0.0653,
22329.1,1.72211,,,22329.1,0.06543,
22337.4,1.72214,,,22337.4,0.06556,
22345.8,1.72216,,,22345.8,0.06569,
22354.1,1.72218,,,22354.1,0.06582,
22362.5,1.72217,,,22362.5,0.06595,
22370.8,1.72213,,,22370.8,0.06606,
22379.2,1.72211,,,22379.2,0.06612,
22387.5,1.72211,,,22387.5,0.06617,
22395.9,1.72212,,,22395.9,0.06623,
22404.2,1.72213,,,22404.2,0.06629,
22412.6,1.72216,,,22412.6,0.06635,
22420.9,1.72219,,,22420.9,0.0664,
22429.3,1.72222,,,22429.3,0.06646,
22437.6,1.72226,,,22437.6,0.06651,
22446,1.72231,,,22446,0.06657,
22454.3,1.72238,,,22454.3,0.06663,
22462.7,1.72246,,,22462.7,0.06671,
22471,1.72252,,,22471,0.06682,
22479.4,1.72257,,,22479.4,0.06692,
22487.7,1.72261,,,22487.7,0.06702,
22496.1,1.72265,,,22496.1,0.06713,
22504.5,1.72269,,,22504.5,0.06723,
22512.8,1.72272,,,22512.8,0.06734,
22521.2,1.72274,,,22521.2,0.06744,
22529.5,1.72277,,,22529.5,0.06754,
22537.9,1.72278,,,22537.9,0.06765,
22546.2,1.72277,,,22546.2,0.06775,
22554.6,1.72278,,,22554.6,0.06782,
22562.9,1.72279,,,22562.9,0.06789,
22571.3,1.72281,,,22571.3,0.06796,
22579.6,1.72283,,,22579.6,0.06803,
22588,1.72286,,,22588,0.0681,
22596.3,1.72289,,,22596.3,0.06817,
22604.7,1.72292,,,22604.7,0.06824,
22613,1.72295,,,22613,0.0683,
22621.4,1.72298,,,22621.4,0.06837,
22629.7,1.72302,,,22629.7,0.06844,
22638.1,1.72306,,,22638.1,0.06852,
22646.4,1.7231,,,22646.4,0.06859,
22654.8,1.72314,,,22654.8,0.06867,
22663.1,1.72318,,,22663.1,0.06874,
22671.5,1.72322,,,22671.5,0.06881,
22679.8,1.72326,,,22679.8,0.06889,
22688.2,1.7233,,,22688.2,0.06896,
22696.5,1.72335,,,22696.5,0.06904,
22704.9,1.72339,,,22704.9,0.06911,
22713.2,1.72344,,,22713.2,0.06919,
22721.6,1.72351,,,22721.6,0.06926,
22729.9,1.72356,,,22729.9,0.06936,
22738.3,1.72361,,,22738.3,0.06946,
22746.6,1.72366,,,22746.6,0.06956,
22755,1.72371,,,22755,0.06965,
22763.3,1.72375,,,22763.3,0.06975,
22771.7,1.72379,,,22771.7,0.06985,
22780,1.72383,,,22780,0.06995,
22788.4,1.72387,,,22788.4,0.07004,
22796.7,1.72391,,,22796.7,0.07014,
22805.1,1.72394,,,22805.1,0.07024,
22813.4,1.72398,,,22813.4,0.07034,
22821.8,1.72402,,,22821.8,0.07044,
22830.1,1.72405,,,22830.1,0.07054,
22838.5,1.72408,,,22838.5,0.07065,
22846.8,1.72411,,,22846.8,0.07075,
22855.2,1.72414,,,22855.2,0.07085,
22863.5,1.72416,,,22863.5,0.07095,
22871.9,1.72419,,,22871.9,0.07106,
22880.2,1.72421,,,22880.2,0.07116,
22888.6,1.72422,,,22888.6,0.07126,
22896.9,1.72423,,,22896.9,0.07137,
22905.3,1.72423,,,22905.3,0.07145,
22913.6,1.72424,,,22913.6,0.07153,
22922,1.72426,,,22922,0.07161,
22930.3,1.72428,,,22930.3,0.07169,
22938.7,1.7243,,,22938.7,0.07177,
22947,1.72433,,,22947,0.07184,
22955.4,1.72435,,,22955.4,0.07192,
22963.7,1.72438,,,22963.7,0.072,
22972.1,1.7244,,,22972.1,0.07208,
22980.4,1.72443,,,22980.4,0.07216,
22988.8,1.72445,,,22988.8,0.07224,
22997.1,1.72448,,,22997.1,0.07232,
23005.5,1.72451,,,23005.5,0.0724,
23013.9,1.72454,,,23013.9,0.07248,
23022.2,1.72457,,,23022.2,0.07255,
23030.6,1.72461,,,23030.6,0.07263,
23038.9,1.72464,,,23038.9,0.07271,
23047.3,1.72467,,,23047.3,0.07279,
23055.6,1.72471,,,23055.6,0.07287,
23064,1.72475,,,23064,0.07294,
23072.3,1.7248,,,23072.3,0.07302,
23080.7,1.72484,,,23080.7,0.07311,
23089,1.72488,,,23089,0.07321,
23097.4,1.72492,,,23097.4,0.0733,
23105.7,1.72496,,,23105.7,0.0734,
23114.1,1.72499,,,23114.1,0.07349,
23122.4,1.72502,,,23122.4,0.07358,
23130.8,1.72506,,,23130.8,0.07368,
23139.1,1.72509,,,23139.1,0.07377,
23147.5,1.72512,,,23147.5,0.07387,
23155.8,1.72515,,,23155.8,0.07396,
23164.2,1.72517,,,23164.2,0.07405,
23172.5,1.7252,,,23172.5,0.07414,
23180.9,1.72522,,,23180.9,0.07423,
23189.2,1.72525,,,23189.2,0.07432,
23197.6,1.72528,,,23197.6,0.0744,
23205.9,1.72531,,,23205.9,0.07449,
23214.3,1.72534,,,23214.3,0.07458,
23222.6,1.72537,,,23222.6,0.07466,
23231,1.7254,,,23231,0.07475,
23239.3,1.72544,,,23239.3,0.07484,
23247.7,1.72547,,,23247.7,0.07493,
23256,1.7255,,,23256,0.07502,
23264.4,1.72553,,,23264.4,0.0751,
23272.7,1.72557,,,23272.7,0.07519,
23281.1,1.7256,,,23281.1,0.07528,
23289.4,1.72563,,,23289.4,0.07537,
23297.8,1.72567,,,23297.8,0.07546,
23306.1,1.7257,,,23306.1,0.07555,
23314.5,1.72574,,,23314.5,0.07564,
23322.8,1.72578,,,23322.8,0.07573,
23331.2,1.72582,,,23331.2,0.07582,
23339.5,1.72587,,,23339.5,0.07592,
23347.9,1.72592,,,23347.9,0.07603,
23356.2,1.72595,,,23356.2,0.07614,
23364.6,1.72598,,,23364.6,0.07625,
23372.9,1.72601,,,23372.9,0.07636,
23381.3,1.72604,,,23381.3,0.07647,
23389.6,1.72606,,,23389.6,0.07658,
23398,1.72608,,,23398,0.07669,
23406.3,1.7261,,,23406.3,0.07681,
23414.7,1.72611,,,23414.7,0.07692,
23423,1.7261,,,23423,0.07703,
23431.4,1.72609,,,23431.4,0.07712,
23439.7,1.72609,,,23439.7,0.07719,
23448.1,1.7261,,,23448.1,0.07727,
23456.4,1.72612,,,23456.4,0.07735,
23464.8,1.72614,,,23464.8,0.07743,
23473.1,1.72616,,,23473.1,0.0775,
23481.5,1.72618,,,23481.5,0.07758,
23489.8,1.72621,,,23489.8,0.07766,
23498.2,1.72624,,,23498.2,0.07774,
23506.6,1.72628,,,23506.6,0.07781,
23514.9,1.72632,,,23514.9,0.07789,
23523.3,1.72637,,,23523.3,0.07799,
23531.6,1.7264,,,23531.6,0.07809,
23540,1.72643,,,23540,0.07819,
23548.3,1.72647,,,23548.3,0.07829,
23556.7,1.7265,,,23556.7,0.07838,
23565,1.72653,,,23565,0.07848,
23573.4,1.72655,,,23573.4,0.07858,
23581.7,1.72658,,,23581.7,0.07868,
23590.1,1.72661,,,23590.1,0.07878,
23598.4,1.72665,,,23598.4,0.07887,
23606.8,1.72669,,,23606.8,0.07898,
23615.1,1.72671,,,23615.1,0.0791,
23623.5,1.72674,,,23623.5,0.07921,
23631.8,1.72676,,,23631.8,0.07932,
23640.2,1.72678,,,23640.2,0.07944,
23648.5,1.72679,,,23648.5,0.07955,
23656.9,1.7268,,,23656.9,0.07966,
23665.2,1.7268,,,23665.2,0.07978,
23673.6,1.7268,,,23673.6,0.07989,
23681.9,1.72679,,,23681.9,0.08001,
23690.3,1.72675,,,23690.3,0.08011,
23698.6,1.72673,,,23698.6,0.08018,
23707,1.72672,,,23707,0.08024,
23715.3,1.72673,,,23715.3,0.0803,
23723.7,1.72673,,,23723.7,0.08036,
23732,1.72675,,,23732,0.08042,
23740.4,1.72677,,,23740.4,0.08049,
23748.7,1.72679,,,23748.7,0.08055,
23757.1,1.72683,,,23757.1,0.08061,
23765.4,1.72687,,,23765.4,0.08067,
23773.8,1.72692,,,23773.8,0.08073,
23782.1,1.727,,,23782.1,0.08082,
23790.5,1.72705,,,23790.5,0.08094,
23798.8,1.72709,,,23798.8,0.08105,
23807.2,1.72713,,,23807.2,0.08117,
23815.5,1.72715,,,23815.5,0.08128,
23823.9,1.72717,,,23823.9,0.0814,
23832.2,1.72719,,,23832.2,0.08151,
23840.6,1.72721,,,23840.6,0.08163,
23848.9,1.72721,,,23848.9,0.08175,
23857.3,1.72721,,,23857.3,0.08186,
23865.6,1.72718,,,23865.6,0.08198,
23874,1.72716,,,23874,0.08205,
23882.3,1.72716,,,23882.3,0.08212,
23890.7,1.72716,,,23890.7,0.0822,
23899,1.72717,,,23899,0.08227,
23907.4,1.72718,,,23907.4,0.08234,
23915.7,1.72719,,,23915.7,0.08241,
23924.1,1.72721,,,23924.1,0.08248,
23932.4,1.72723,,,23932.4,0.08256,
23940.8,1.72725,,,23940.8,0.08263,
23949.1,1.72728,,,23949.1,0.0827,
23957.5,1.72731,,,23957.5,0.08278,
23965.8,1.72733,,,23965.8,0.08286,
23974.2,1.72736,,,23974.2,0.08294,
23982.5,1.72739,,,23982.5,0.08302,
23990.9,1.72742,,,23990.9,0.0831,
23999.2,1.72745,,,23999.2,0.08318,
24007.6,1.72748,,,24007.6,0.08326,
24016,1.72751,,,24016,0.08335,
24024.3,1.72754,,,24024.3,0.08343,
24032.7,1.72758,,,24032.7,0.08351,
24041,1.72763,,,24041,0.08359,
24049.4,1.72768,,,24049.4,0.08369,
24057.7,1.72771,,,24057.7,0.0838,
24066.1,1.72775,,,24066.1,0.0839,
24074.4,1.72778,,,24074.4,0.084,
24082.8,1.72781,,,24082.8,0.08411,
24091.1,1.72784,,,24091.1,0.08421,
24099.5,1.72786,,,24099.5,0.08431,
24107.8,1.72789,,,24107.8,0.08442,
24116.2,1.72791,,,24116.2,0.08452,
24124.5,1.72794,,,24124.5,0.08463,
24132.9,1.72796,,,24132.9,0.08473,
24141.2,1.72798,,,24141.2,0.08484,
24149.6,1.728,,,24149.6,0.08495,
24157.9,1.72802,,,24157.9,0.08506,
24166.3,1.72804,,,24166.3,0.08516,
24174.6,1.72805,,,24174.6,0.08527,
24183,1.72806,,,24183,0.08538,
24191.3,1.72807,,,24191.3,0.08549,
24199.7,1.72808,,,24199.7,0.0856,
24208,1.72808,,,24208,0.08571,
24216.4,1.72807,,,24216.4,0.08582,
24224.7,1.72806,,,24224.7,0.0859,
24233.1,1.72806,,,24233.1,0.08598,
24241.4,1.72806,,,24241.4,0.08606,
24249.8,1.72807,,,24249.8,0.08615,
24258.1,1.72808,,,24258.1,0.08623,
24266.5,1.72809,,,24266.5,0.08631,
24274.8,1.7281,,,24274.8,0.08639,
24283.2,1.72812,,,24283.2,0.08647,
24291.5,1.72814,,,24291.5,0.08655,
24299.9,1.72815,,,24299.9,0.08664,
24308.2,1.72818,,,24308.2,0.08672,
24316.6,1.7282,,,24316.6,0.08681,
24324.9,1.72822,,,24324.9,0.08689,
24333.3,1.72824,,,24333.3,0.08698,
24341.6,1.72826,,,24341.6,0.08707,
24350,1.72828,,,24350,0.08715,
24358.3,1.72831,,,24358.3,0.08724,
24366.7,1.72833,,,24366.7,0.08733,
24375,1.72836,,,24375,0.08741,
24383.4,1.72838,,,24383.4,0.0875,
24391.7,1.72842,,,24391.7,0.08759,
24400.1,1.72846,,,24400.1,0.08769,
24408.4,1.72849,,,24408.4,0.08779,
24416.8,1.72851,,,24416.8,0.08789,
24425.1,1.72854,,,24425.1,0.088,
24433.5,1.72856,,,24433.5,0.0881,
24441.8,1.72858,,,24441.8,0.08821,
24450.2,1.7286,,,24450.2,0.08831,
24458.5,1.72862,,,24458.5,0.08841,
24466.9,1.72864,,,24466.9,0.08852,
24475.2,1.72866,,,24475.2,0.08862,
24483.6,1.72868,,,24483.6,0.08873,
24491.9,1.7287,,,24491.9,0.08884,
24500.3,1.72872,,,24500.3,0.08894,
24508.7,1.72873,,,24508.7,0.08905,
24517,1.72874,,,24517,0.08916,
24525.4,1.72875,,,24525.4,0.08927,
24533.7,1.72876,,,24533.7,0.08938,
24542.1,1.72877,,,24542.1,0.08949,
24550.4,1.72877,,,24550.4,0.0896,
24558.8,1.72877,,,24558.8,0.08971,
24567.1,1.72876,,,24567.1,0.08983,
24575.5,1.72874,,,24575.5,0.08992,
24583.8,1.72874,,,24583.8,0.09,
24592.2,1.72874,,,24592.2,0.09009,
24600.5,1.72874,,,24600.5,0.09017,
24608.9,1.72874,,,24608.9,0.09026,
24617.2,1.72875,,,24617.2,0.09035,
24625.6,1.72876,,,24625.6,0.09043,
24633.9,1.72877,,,24633.9,0.09052,
24642.3,1.72878,,,24642.3,0.0906,
24650.6,1.72879,,,24650.6,0.09069,
24659,1.7288,,,24659,0.09078,
24667.3,1.72882,,,24667.3,0.09087,
24675.7,1.72883,,,24675.7,0.09096,
24684,1.72884,,,24684,0.09105,
24692.4,1.72886,,,24692.4,0.09114,
24700.7,1.72887,,,24700.7,0.09123,
24709.1,1.72889,,,24709.1,0.09132,
24717.4,1.7289,,,24717.4,0.09141,
24725.8,1.72892,,,24725.8,0.0915,
24734.1,1.72894,,,24734.1,0.09159,
24742.5,1.72896,,,24742.5,0.09168,
24750.8,1.72899,,,24750.8,0.09178,
24759.2,1.72901,,,24759.2,0.09189,
24767.5,1.72902,,,24767.5,0.09199,
24775.9,1.72903,,,24775.9,0.0921,
24784.2,1.72904,,,24784.2,0.09221,
24792.6,1.72905,,,24792.6,0.09231,
24800.9,1.72906,,,24800.9,0.09242,
24809.3,1.72906,,,24809.3,0.09253,
24817.6,1.72906,,,24817.6,0.09263,
24826,1.72905,,,24826,0.09274,
24834.3,1.72903,,,24834.3,0.09284,
24842.7,1.72902,,,24842.7,0.09292,
24851,1.72901,,,24851,0.093,
24859.4,1.72901,,,24859.4,0.09308,
24867.7,1.72902,,,24867.7,0.09315,
24876.1,1.72902,,,24876.1,0.09323,
24884.4,1.72903,,,24884.4,0.09331,
24892.8,1.72905,,,24892.8,0.09338,
24901.1,1.72906,,,24901.1,0.09346,
24909.5,1.72908,,,24909.5,0.09354,
24917.8,1.72911,,,24917.8,0.09361,
24926.2,1.72916,,,24926.2,0.09371,
24934.5,1.72918,,,24934.5,0.09381,
24942.9,1.72921,,,24942.9,0.09391,
24951.2,1.72923,,,24951.2,0.09401,
24959.6,1.72925,,,24959.6,0.09411,
24967.9,1.72927,,,24967.9,0.09422,
24976.3,1.72929,,,24976.3,0.09432,
24984.6,1.7293,,,24984.6,0.09442,
24993,1.72932,,,24993,0.09452,
25001.4,1.72934,,,25001.4,0.09463,
25009.7,1.72936,,,25009.7,0.09473,
25018.1,1.72939,,,25018.1,0.09485,
25026.4,1.7294,,,25026.4,0.09497,
25034.8,1.72941,,,25034.8,0.09508,
25043.1,1.72942,,,25043.1,0.0952,
25051.5,1.72942,,,25051.5,0.09532,
25059.8,1.72942,,,25059.8,0.09544,
25068.2,1.72942,,,25068.2,0.09556,
25076.5,1.72942,,,25076.5,0.09568,
25084.9,1.72941,,,25084.9,0.09579,
25093.2,1.72939,,,25093.2,0.09591,
25101.6,1.72937,,,25101.6,0.09602,
25109.9,1.72935,,,25109.9,0.09612,
25118.3,1.72934,,,25118.3,0.09622,
25126.6,1.72932,,,25126.6,0.09632,
25135,1.72931,,,25135,0.09642,
25143.3,1.72929,,,25143.3,0.09652,
25151.7,1.72928,,,25151.7,0.09662,
25160,1.72926,,,25160,0.09672,
25168.4,1.72923,,,25168.4,0.09682,
25176.7,1.72921,,,25176.7,0.09692,
25185.1,1.72916,,,25185.1,0.09702,
25193.4,1.72912,,,25193.4,0.09708,
25201.8,1.72909,,,25201.8,0.09714,
25210.1,1.72907,,,25210.1,0.09719,
25218.5,1.72906,,,25218.5,0.09725,
25226.8,1.72906,,,25226.8,0.09731,
25235.2,1.72906,,,25235.2,0.09736,
25243.5,1.72906,,,25243.5,0.09742,
25251.9,1.72907,,,25251.9,0.09748,
25260.2,1.72908,,,25260.2,0.09753,
25268.6,1.72911,,,25268.6,0.09759,
25276.9,1.72916,,,25276.9,0.09766,
25285.3,1.72919,,,25285.3,0.09775,
25293.6,1.72921,,,25293.6,0.09785,
25302,1.72923,,,25302,0.09794,
25310.3,1.72925,,,25310.3,0.09803,
25318.7,1.72926,,,25318.7,0.09813,
25327,1.72928,,,25327,0.09822,
25335.4,1.72929,,,25335.4,0.09832,
25343.7,1.7293,,,25343.7,0.09841,
25352.1,1.72931,,,25352.1,0.09851,
25360.4,1.72931,,,25360.4,0.0986,
25368.8,1.72932,,,25368.8,0.09869,
25377.1,1.72932,,,25377.1,0.09878,
25385.5,1.72933,,,25385.5,0.09887,
25393.8,1.72934,,,25393.8,0.09896,
25402.2,1.72935,,,25402.2,0.09905,
25410.5,1.72936,,,25410.5,0.09914,
25418.9,1.72937,,,25418.9,0.09923,
25427.2,1.72938,,,25427.2,0.09932,
25435.6,1.72939,,,25435.6,0.09941,
25443.9,1.7294,,,25443.9,0.0995,
25452.3,1.72942,,,25452.3,0.09959,
25460.6,1.72944,,,25460.6,0.0997,
25469,1.72945,,,25469,0.0998,
25477.3,1.72946,,,25477.3,0.0999,
25485.7,1.72946,,,25485.7,0.10001,
25494,1.72947,,,25494,0.10011,
25502.4,1.72947,,,25502.4,0.10022,
25510.8,1.72947,,,25510.8,0.10032,
25519.1,1.72946,,,25519.1,0.10042,
25527.5,1.72946,,,25527.5,0.10053,
25535.8,1.72944,,,25535.8,0.10063,
25544.2,1.72942,,,25544.2,0.10072,
25552.5,1.72941,,,25552.5,0.1008,
25560.9,1.7294,,,25560.9,0.10088,
25569.2,1.7294,,,25569.2,0.10096,
25577.6,1.7294,,,25577.6,0.10104,
25585.9,1.7294,,,25585.9,0.10112,
25594.3,1.72941,,,25594.3,0.1012,
25602.6,1.72942,,,25602.6,0.10128,
25611,1.72943,,,25611,0.10136,
25619.3,1.72946,,,25619.3,0.10144,
25627.7,1.7295,,,25627.7,0.10153,
25636,1.72952,,,25636,0.10166,
25644.4,1.72954,,,25644.4,0.10178,
25652.7,1.72954,,,25652.7,0.1019,
25661.1,1.72954,,,25661.1,0.10202,
25669.4,1.72953,,,25669.4,0.10214,
25677.8,1.72952,,,25677.8,0.10226,
25686.1,1.7295,,,25686.1,0.10239,
25694.5,1.72947,,,25694.5,0.10251,
25702.8,1.72943,,,25702.8,0.10264,
25711.2,1.72936,,,25711.2,0.10276,
25719.5,1.72926,,,25719.5,0.10282,
25727.9,1.7292,,,25727.9,0.10286,
25736.2,1.72917,,,25736.2,0.10289,
25744.6,1.72915,,,25744.6,0.10293,
25752.9,1.72913,,,25752.9,0.10296,
25761.3,1.72913,,,25761.3,0.103,
25769.6,1.72914,,,25769.6,0.10303,
25778,1.72915,,,25778,0.10307,
25786.3,1.72918,,,25786.3,0.1031,
25794.7,1.72922,,,25794.7,0.10313,
25803,1.7293,,,25803,0.10318,
25811.4,1.72937,,,25811.4,0.10328,
25819.7,1.72941,,,25819.7,0.10339,
25828.1,1.72944,,,25828.1,0.10349,
25836.4,1.72947,,,25836.4,0.1036,
25844.8,1.72949,,,25844.8,0.10371,
25853.1,1.72951,,,25853.1,0.10381,
25861.5,1.72953,,,25861.5,0.10392,
25869.8,1.72955,,,25869.8,0.10402,
25878.2,1.72956,,,25878.2,0.10413,
25886.5,1.72957,,,25886.5,0.10423,
25894.9,1.72959,,,25894.9,0.10435,
25903.2,1.7296,,,25903.2,0.10446,
25911.6,1.7296,,,25911.6,0.10457,
25919.9,1.7296,,,25919.9,0.10469,
25928.3,1.7296,,,25928.3,0.1048,
25936.6,1.72959,,,25936.6,0.10492,
25945,1.72958,,,25945,0.10503,
25953.3,1.72957,,,25953.3,0.10515,
25961.7,1.72955,,,25961.7,0.10526,
